,StnPres,SeaPres,Temperature,Td dew point,RH,WS,WD,WSGust,WDGust,Precp,PrecpHour,SunShine,GloblRad,Visb,UVI,Cloud Amount
2020-01-06-05,983.6,1021.5,20.5,18.1,86,6.6,50,12.1,50,0.0,0.0,-999,0.00,20.0,0,7.0
2020-01-06-06,983.9,1021.9,20.4,17.0,81,7.1,60,12.1,70,0.0,0.0,0.0,0.00,-999,0,-999
2020-01-06-07,984.2,1022.1,20.6,17.6,83,6.8,60,11.1,50,0.0,0.0,0.0,0.00,-999,0,-999
2020-01-06-08,984.4,1022.3,20.8,17.7,82,8.0,60,11.2,40,0.0,0.0,0.4,0.39,30.0,0,6.0
2020-01-06-09,984.8,1022.7,21.4,16.7,75,7.5,50,10.5,60,0.0,0.0,0.7,1.03,30.0,1,4.0
2020-01-06-10,984.8,1022.5,22.4,17.2,72,8.0,50,12.1,50,0.0,0.0,0.8,1.69,-999,3,-999
2020-01-06-11,984.5,1022.2,22.7,15.9,65,8.8,60,12.9,70,0.0,0.0,0.9,2.57,30.0,6,4.0
2020-01-06-12,983.4,1021.1,22.2,16.7,71,8.4,60,12.4,60,0.0,0.0,0.8,2.52,-999,7,-999
2020-01-06-13,982.5,1020.2,21.7,16.7,73,8.4,60,11.7,60,0.0,0.0,0.6,2.05,-999,6,-999
2020-01-06-14,982.0,1019.7,21.6,17.2,76,8.7,60,13.0,60,0.0,0.0,0.5,1.68,30.0,4,6.0
2020-01-06-15,981.6,1019.3,21.6,17.0,75,7.5,50,11.9,60,0.0,0.0,0.6,1.55,-999,3,-999
2020-01-06-16,981.6,1019.4,20.8,17.6,82,7.8,50,12.7,40,0.0,0.0,0.3,0.77,-999,1,-999
2020-01-06-17,981.6,1019.5,20.5,17.5,83,7.1,40,11.4,40,0.0,0.0,0.6,0.34,30.0,0,2.0
2020-01-06-18,981.9,1019.8,20.2,17.8,86,6.5,30,12.4,40,0.0,0.0,0.0,0.00,-999,0,-999
2020-01-06-19,982.3,1020.2,20.1,17.6,86,6.4,40,13.0,50,0.0,0.0,0.0,0.00,-999,0,-999
2020-01-06-20,982.2,1020.1,20.2,17.6,85,8.6,40,12.6,30,0.0,0.0,-999,0.00,10.0,0,4.0
2020-01-06-21,982.5,1020.4,20.1,17.6,86,7.1,40,12.3,40,0.0,0.0,-999,0.00,10.0,0,6.0
2020-01-06-22,982.6,1020.5,20.1,17.5,85,5.3,40,13.1,60,0.0,0.0,-999,0.00,-999,0,-999
2020-01-06-23,982.4,1020.3,20.1,17.9,87,5.6,40,11.5,50,0.0,0.0,-999,0.00,-999,0,-999
2020-01-06-24,982.0,1019.9,20.3,17.9,86,5.9,40,10.7,60,0.0,0.0,-999,0.00,-999,0,-999
2020-01-07-01,981.6,1019.5,20.2,17.6,85,5.8,50,10.2,60,0.0,0.0,-999,0.00,-999,0,-999
2020-01-07-02,981.1,1019.0,20.1,18.0,88,5.5,40,10.9,60,0.0,0.0,-999,0.00,-999,0,-999
2020-01-07-03,980.8,1018.7,19.9,18.0,89,3.6,40,10.8,60,0.0,0.0,-999,0.00,-999,0,-999
2020-01-07-04,980.7,1018.6,20.1,18.2,89,5.0,40,9.1,40,0.0,0.0,-999,0.00,-999,0,-999
2020-01-07-05,980.4,1018.2,20.3,18.6,90,5.0,50,9.5,70,0.0,0.0,-999,0.00,10.0,0,4.0
2020-01-07-06,980.6,1018.5,20.2,18.9,92,3.5,20,8.9,50,0.0,0.0,0.0,0.00,-999,0,-999
2020-01-07-07,980.8,1018.6,20.7,19.2,91,8.6,70,11.3,80,0.0,0.0,0.0,0.00,-999,0,-999
2020-01-07-08,981.4,1019.1,21.7,18.8,84,5.7,70,9.7,70,0.0,0.0,0.3,0.44,20.0,0,4.0
2020-01-07-09,981.5,1019.2,21.6,18.8,84,6.0,70,10.2,60,0.0,0.0,0.3,0.79,20.0,1,5.0
2020-01-07-10,981.4,1018.9,23.1,17.1,69,5.3,60,9.2,70,0.0,0.0,0.5,1.39,-999,3,-999
2020-01-07-11,981.5,1019.1,22.5,17.9,75,3.7,40,6.5,60,0.0,0.0,0.4,1.51,20.0,4,4.0
2020-01-07-12,980.3,1017.8,23.2,17.7,71,3.9,60,6.6,60,0.0,0.0,0.5,1.71,-999,5,-999
2020-01-07-13,979.8,1017.3,22.8,18.1,75,2.4,30,6.1,60,0.0,0.0,0.5,1.71,-999,5,-999
2020-01-07-14,979.4,1016.9,22.6,17.9,75,2.7,50,4.9,60,0.0,0.0,0.6,2.06,20.0,5,6.0
2020-01-07-15,979.0,1016.3,23.7,14.7,57,1.5,80,3.3,50,0.0,0.0,0.9,2.19,-999,3,-999
2020-01-07-16,978.8,1016.4,21.9,17.1,74,2.9,50,3.6,60,0.0,0.0,1.0,1.51,-999,1,-999
2020-01-07-17,979.2,1016.8,21.5,19.3,87,4.0,50,4.9,60,0.0,0.0,1.0,0.45,15.0,0,2.0
2020-01-07-18,979.4,1017.1,21.1,20.2,95,4.9,40,6.4,40,0.0,0.0,0.0,0.00,-999,0,-999
2020-01-07-19,980.3,1018.1,20.9,20.1,95,4.9,30,6.9,40,0.0,0.0,0.0,0.00,-999,0,-999
2020-01-07-20,980.7,1018.5,21.0,20.5,97,5.2,30,6.2,40,0.0,0.0,-999,0.00,15.0,0,1.0
2020-01-07-21,981.0,1018.8,21.0,20.7,98,5.1,30,7.3,40,0.0,0.0,-999,0.00,15.0,0,3.0
2020-01-07-22,981.2,1019.0,21.2,20.6,96,4.2,30,7.8,40,0.0,0.0,-999,0.00,-999,0,-999
2020-01-07-23,981.2,1019.0,20.9,20.4,97,5.0,30,7.4,40,0.0,0.0,-999,0.00,-999,0,-999
2020-01-07-24,981.0,1018.8,21.1,21.1,100,2.4,10,7.3,40,0.0,0.0,-999,0.00,-999,0,-999
2020-01-08-01,980.8,1018.5,21.3,21.3,100,4.7,40,10.6,30,0.9,0.3,-999,0.00,-999,0,-999
2020-01-08-02,980.5,1018.2,21.1,21.0,99,3.6,30,7.8,50,0.0,0.0,-999,0.00,-999,0,-999
2020-01-08-03,980.1,1017.8,21.0,21.0,100,3.7,20,8.4,40,0.1,0.2,-999,0.00,-999,0,-999
2020-01-08-04,980.1,1017.9,20.2,20.2,100,5.2,10,12.0,10,0.1,0.3,-999,0.00,-999,0,-999
2020-01-08-05,980.5,1018.4,19.8,19.7,99,9.9,20,14.4,30,0.1,0.2,-999,0.00,10.0,0,9.0
2020-01-08-06,981.0,1018.9,20.0,19.9,99,7.6,30,14.9,30,2.2,0.9,0.0,0.00,-999,0,-999
2020-01-08-07,981.6,1019.6,19.4,19.4,100,5.0,20,15.5,40,3.5,1.0,0.0,0.00,-999,0,-999
2020-01-08-08,982.1,1020.1,19.6,19.6,100,5.8,10,16.3,30,2.7,1.0,0.0,0.00,0.4,0,-999
2020-01-08-09,983.1,1021.1,19.5,19.5,100,6.4,30,13.8,30,1.0,0.6,0.0,0.15,10.0,0,10.0
2020-01-08-10,982.6,1020.4,21.4,19.9,91,4.7,360,18.3,50,0.0,0.0,0.0,1.05,-999,2,-999
2020-01-08-11,982.1,1020.0,20.7,17.3,81,4.1,350,15.7,20,0.0,0.0,0.0,0.75,20.0,2,8.0
2020-01-08-12,981.3,1019.2,20.3,20.3,100,3.9,340,16.9,10,0.6,0.2,0.0,0.41,-999,2,-999
2020-01-08-13,980.3,1018.2,20.1,20.1,100,7.5,10,20.9,30,0.0,0.0,0.0,0.06,-999,1,-999
2020-01-08-14,979.9,1017.7,20.7,19.2,91,6.6,10,19.6,20,0.0,0.0,0.0,0.45,20.0,1,9.0
2020-01-08-15,979.5,1017.2,20.8,18.9,89,5.7,360,19.9,30,0.0,0.0,0.1,0.62,-999,1,-999
2020-01-08-16,979.9,1017.8,19.9,18.6,92,5.9,10,18.1,40,0.0,0.0,0.0,0.00,-999,0,-999
2020-01-08-17,980.5,1018.4,19.5,18.1,92,5.8,360,19.8,40,0.0,0.0,0.0,0.00,20.0,0,10.0
2020-01-08-18,980.6,1018.6,19.1,17.8,92,7.3,10,23.4,40,0.0,0.0,0.0,0.00,-999,0,-999
2020-01-08-19,981.5,1019.5,19.1,17.6,91,5.6,10,21.6,40,0.0,0.0,0.0,0.00,-999,0,-999
2020-01-08-20,982.1,1020.2,18.8,17.6,93,5.7,10,18.5,30,0.0,0.0,-999,0.00,10.0,0,10.0
2020-01-08-21,982.2,1020.3,18.7,17.3,92,4.9,360,17.6,30,0.0,0.0,-999,0.00,10.0,0,10.0
2020-01-08-22,982.3,1020.4,18.7,17.0,90,4.5,360,15.6,40,0.0,0.0,-999,0.00,-999,0,-999
2020-01-08-23,982.3,1020.4,18.7,17.2,91,4.7,10,15.2,30,0.0,0.0,-999,0.00,-999,0,-999
2020-01-08-24,982.4,1020.5,18.6,17.1,91,3.8,350,14.7,30,0.0,0.0,-999,0.00,-999,0,-999
2020-01-09-01,981.6,1019.7,18.6,17.2,92,5.6,10,15.9,40,0.0,0.0,-999,0.00,-999,0,-999
2020-01-09-02,981.3,1019.4,18.6,17.1,91,7.0,20,16.9,30,0.0,0.0,-999,0.00,-999,0,-999
2020-01-09-03,981.0,1019.1,18.5,16.7,89,5.4,360,17.1,30,0.0,0.0,-999,0.00,-999,0,-999
2020-01-09-04,981.1,1019.2,18.5,16.5,88,5.4,360,16.1,30,0.0,0.0,-999,0.00,-999,0,-999
2020-01-09-05,981.4,1019.5,18.5,16.3,87,3.6,350,14.4,40,0.0,0.0,-999,0.00,10.0,0,9.0
2020-01-09-06,981.3,1019.4,18.4,16.4,88,6.7,20,15.5,40,0.0,0.0,0.0,0.00,-999,0,-999
2020-01-09-07,981.7,1019.8,18.6,16.4,87,5.6,20,14.7,30,0.0,0.0,0.0,0.00,-999,0,-999
2020-01-09-08,982.5,1020.6,18.9,16.0,83,5.8,20,15.6,30,0.0,0.0,0.1,0.30,12.0,0,7.0
2020-01-09-09,983.1,1021.2,19.0,16.2,84,4.7,20,13.9,30,0.0,0.0,0.0,0.12,15.0,0,10.0
2020-01-09-10,982.8,1020.8,19.5,16.2,81,4.8,10,13.8,40,0.0,0.0,0.0,0.56,-999,1,-999
2020-01-09-11,982.4,1020.3,20.3,15.7,75,4.9,10,14.4,40,0.0,0.0,0.3,1.26,15.0,3,9.0
2020-01-09-12,981.5,1019.4,20.2,16.3,78,4.6,10,12.3,40,0.0,0.0,0.2,1.08,-999,3,-999
2020-01-09-13,980.4,1018.2,20.8,14.9,69,4.9,20,13.3,30,0.0,0.0,0.4,1.92,-999,5,-999
2020-01-09-14,980.1,1018.0,19.6,16.3,81,3.5,360,12.3,30,0.0,0.0,0.1,1.00,20.0,2,9.0
2020-01-09-15,979.5,1017.3,20.1,16.5,80,3.4,10,12.2,30,0.0,0.0,0.0,0.84,-999,2,-999
2020-01-09-16,979.6,1017.4,20.2,16.0,77,3.7,10,12.4,30,0.0,0.0,0.1,0.71,-999,1,-999
2020-01-09-17,979.8,1017.7,19.3,16.7,85,4.2,10,12.9,30,0.0,0.0,0.0,0.25,20.0,0,9.0
2020-01-09-18,980.2,1018.1,19.4,17.0,86,5.1,20,12.4,30,0.0,0.0,0.0,0.00,-999,0,-999
2020-01-09-19,980.6,1018.6,19.4,16.8,85,4.2,30,12.8,90,0.0,0.0,0.0,0.00,-999,0,-999
2020-01-09-20,980.7,1018.7,19.4,17.2,87,4.3,20,11.8,50,0.0,0.0,-999,0.00,15.0,0,9.0
